STUDENT,SCHOOL,CITY,GROUP,SUBJECT,SCORE,STARTDATE,ENDDATE,DURATION,ACTIVITYID
DC6F3AE7,3C49AA57,Monterrey,C8DEAA98,Matemáticas,8,59:25.5,39:12.4,9490,222175
A88616AE,A486798D,México,7B4B171D,Matemáticas,6,15:45.0,31:27.7,4514,216328
CD067ECE,A486798D,México,0EA62CAD,Español,6.4,43:01.8,30:26.9,2826,216269
8D997F90,A486798D,México,60FD0065,Español,6.8,06:55.7,58:39.9,2811,214561
5BB57AF1,A486798D,México,7B4B171D,Matemáticas,8,01:17.9,50:11.8,10026,217334
B16DC606,9E8D7DEF,Curitiba,1556B002,Matemáticas,2.6,03:28.6,21:56.6,1094,224889
83AC3EF1,F890389A,París,5B7D207A,Español,7.8,07:49.4,31:03.0,4720,219513
BAF6F80F,9978663E,Madrid,456EBE2F,Español,5.2,34:17.5,55:52.6,1276,224246
6A670CEB,7FB68715,México,4B2E8458,Español,6.4,53:47.5,50:23.1,6927,217354
EDD1896E,A486798D,México,2DD38A8B,Español,7.2,02:28.4,57:37.6,6886,220708
00613D0C,A486798D,México,0EA62CAD,Español,1.2,36:54.0,50:21.0,331,225625
AADC6FC6,E09B244A,México,AF07F30C,Matemáticas,2.8,29:13.8,54:35.1,5002,211821
154FCB71,A486798D,México,2B5DD894,Español,5.8,06:57.0,39:17.4,1871,213404
B0CEAF13,AFDB98BD,México,E6967690,Matemáticas,2.6,31:09.5,43:48.2,1559,220102
F0957E2F,7FB68715,México,7DED8B2B,Matemáticas,9.2,30:43.9,08:07.4,2201,221119
6EDEC7E8,A2AB9C69,Santiago,6269483D,Matemáticas,2.8,37:33.4,06:53.9,1745,226129
